epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.17,1.14813,0.65161,1,0.95669,0.0702459,0.00330601,0.00330601
2,31.0926,0.99698,0.5648,0.99524,1.13451,0.040224,0.00661743,0.00661743
3,40.3429,1.01655,0.44233,0.99524,1.47135,0.0101801,0.00990686,0.00990686
4,52.8717,1.12193,0.6635,0.96908,1.05091,0.009901,0.009901,0.009901
5,65.6517,1.1128,0.70155,0.99881,0.6871,0.009868,0.009868,0.009868
6,74.563,1.04759,0.53508,0.96552,1.32744,0.009835,0.009835,0.009835
7,85.509,1.02223,0.52081,0.99881,1.22835,0.009802,0.009802,0.009802
8,99.0667,1.01753,0.69203,0.99762,1.03986,0.009769,0.009769,0.009769
9,112.269,1.04206,0.69203,0.99762,0.86686,0.009736,0.009736,0.009736
10,121.367,0.91765,0.71819,0.99762,0.89357,0.009703,0.009703,0.009703
11,130.658,0.89678,0.5648,0.95482,1.24736,0.00967,0.00967,0.00967
12,141.057,0.9269,0.70749,1,0.61337,0.009637,0.009637,0.009637
13,162.811,0.83314,0.69798,1,0.75498,0.009604,0.009604,0.009604
14,173.003,0.82882,0.73365,0.99524,0.66592,0.009571,0.009571,0.009571
15,184.412,0.81077,0.73008,0.99881,0.66758,0.009538,0.009538,0.009538
16,201.256,0.86535,0.72889,1,0.69898,0.009505,0.009505,0.009505
17,218.71,0.81782,0.74316,1,0.54603,0.009472,0.009472,0.009472
18,228.611,0.83068,0.68252,0.99881,0.75331,0.009439,0.009439,0.009439
19,239.423,0.81009,0.67301,0.99881,0.78347,0.009406,0.009406,0.009406
20,260.311,0.79293,0.42449,0.95957,2.00828,0.009373,0.009373,0.009373
21,272.368,0.75401,0.70868,0.99643,0.66065,0.00934,0.00934,0.00934
22,281.989,0.76628,0.62901,0.99762,0.73038,0.009307,0.009307,0.009307
23,294.666,0.76,0.60999,0.99762,0.86258,0.009274,0.009274,0.009274
24,307.805,0.70943,0.68014,0.99881,0.6511,0.009241,0.009241,0.009241
25,317.309,0.7298,0.69322,0.99762,0.70027,0.009208,0.009208,0.009208
26,330.298,0.72332,0.74197,0.99762,0.6035,0.009175,0.009175,0.009175
27,349.006,0.69218,0.71106,0.99881,0.63921,0.009142,0.009142,0.009142
28,367.747,0.70546,0.71938,1,0.54568,0.009109,0.009109,0.009109
29,385.904,0.68542,0.74673,0.99881,0.59329,0.009076,0.009076,0.009076
30,400.897,0.72421,0.70155,0.99881,0.69019,0.009043,0.009043,0.009043
31,422.693,0.6745,0.67776,1,0.71709,0.00901,0.00901,0.00901
32,445.121,0.67697,0.6742,0.99881,0.77355,0.008977,0.008977,0.008977
33,456.01,0.66639,0.66706,0.99881,0.74923,0.008944,0.008944,0.008944
34,471.894,0.70457,0.72414,1,0.5871,0.008911,0.008911,0.008911
35,483.06,0.72707,0.717,0.99881,0.6433,0.008878,0.008878,0.008878
36,497.2,0.65663,0.68728,1,0.6694,0.008845,0.008845,0.008845
37,507.336,0.71986,0.67301,0.99762,0.6269,0.008812,0.008812,0.008812
38,518.306,0.65752,0.75862,0.99881,0.50642,0.008779,0.008779,0.008779
39,528.811,0.66919,0.74554,1,0.54254,0.008746,0.008746,0.008746
40,541.738,0.66475,0.64685,1,0.78054,0.008713,0.008713,0.008713
41,554.106,0.63468,0.73484,1,0.62605,0.00868,0.00868,0.00868
42,571.685,0.68801,0.77646,0.99881,0.50495,0.008647,0.008647,0.008647
43,591.344,0.66173,0.62782,0.99643,0.75765,0.008614,0.008614,0.008614
44,606.55,0.6333,0.73603,0.99881,0.58757,0.008581,0.008581,0.008581
45,626.557,0.66446,0.72176,0.99881,0.62664,0.008548,0.008548,0.008548
46,645.264,0.62643,0.77646,0.99881,0.5193,0.008515,0.008515,0.008515
47,655.635,0.63208,0.60642,0.99881,0.90373,0.008482,0.008482,0.008482
48,673.797,0.60947,0.81688,0.99881,0.42494,0.008449,0.008449,0.008449
49,696.191,0.62292,0.7824,0.99762,0.46723,0.008416,0.008416,0.008416
50,719.159,0.60809,0.79667,0.99881,0.44277,0.008383,0.008383,0.008383
51,735.869,0.56838,0.78359,1,0.46701,0.00835,0.00835,0.00835
52,749.182,0.57556,0.74911,0.99881,0.58122,0.008317,0.008317,0.008317
53,779.718,0.62427,0.74316,1,0.5307,0.008284,0.008284,0.008284
54,812.263,0.58667,0.76932,0.99881,0.5723,0.008251,0.008251,0.008251
55,826.863,0.60958,0.71463,1,0.609,0.008218,0.008218,0.008218
56,839.673,0.58181,0.78835,0.99881,0.51316,0.008185,0.008185,0.008185
57,849.042,0.56215,0.75743,0.99881,0.52268,0.008152,0.008152,0.008152
58,858.525,0.62921,0.69441,0.99881,0.72971,0.008119,0.008119,0.008119
59,880.783,0.60972,0.74673,0.99762,0.60904,0.008086,0.008086,0.008086
60,891.586,0.55064,0.77527,0.99881,0.49271,0.008053,0.008053,0.008053
61,907.223,0.67215,0.74316,0.99762,0.6219,0.00802,0.00802,0.00802
62,921.71,0.60598,0.74792,0.99881,0.52632,0.007987,0.007987,0.007987
63,932.248,0.56313,0.77765,0.99881,0.5138,0.007954,0.007954,0.007954
64,942.394,0.54392,0.64566,0.99762,0.78505,0.007921,0.007921,0.007921
65,952.796,0.57528,0.77646,0.99881,0.53005,0.007888,0.007888,0.007888
66,966.717,0.59882,0.6849,0.99881,0.78123,0.007855,0.007855,0.007855
67,979.397,0.59542,0.7931,0.99762,0.49886,0.007822,0.007822,0.007822
68,996.078,0.57817,0.64566,0.99881,0.78575,0.007789,0.007789,0.007789
69,1019.26,0.5186,0.74911,0.99881,0.60034,0.007756,0.007756,0.007756
70,1030.66,0.54672,0.78835,0.99881,0.519,0.007723,0.007723,0.007723
71,1039.54,0.516,0.70987,0.99762,0.71377,0.00769,0.00769,0.00769
72,1060,0.50078,0.7503,0.99881,0.59076,0.007657,0.007657,0.007657
73,1073.76,0.52062,0.7717,0.99881,0.64444,0.007624,0.007624,0.007624
74,1090.76,0.54743,0.78478,0.99881,0.5061,0.007591,0.007591,0.007591
75,1112.79,0.57886,0.7503,0.99881,0.58139,0.007558,0.007558,0.007558
76,1126.62,0.5257,0.82521,0.99881,0.41514,0.007525,0.007525,0.007525
77,1138.62,0.55077,0.71581,0.99881,0.69901,0.007492,0.007492,0.007492
78,1147.94,0.55801,0.78716,0.99881,0.5101,0.007459,0.007459,0.007459
79,1168.59,0.49649,0.69917,1,0.64573,0.007426,0.007426,0.007426
80,1180.91,0.51134,0.66112,1,0.82107,0.007393,0.007393,0.007393
81,1190.34,0.5084,0.74792,1,0.52807,0.00736,0.00736,0.00736
82,1199.64,0.53736,0.77289,1,0.47733,0.007327,0.007327,0.007327
83,1212.47,0.48654,0.77289,1,0.52176,0.007294,0.007294,0.007294
84,1225.77,0.48461,0.79548,0.99881,0.45691,0.007261,0.007261,0.007261
85,1235.9,0.5248,0.79548,1,0.52301,0.007228,0.007228,0.007228
86,1244.88,0.46272,0.73365,1,0.57741,0.007195,0.007195,0.007195
87,1254.14,0.48371,0.77765,0.99881,0.46752,0.007162,0.007162,0.007162
88,1266.65,0.51584,0.80737,1,0.44603,0.007129,0.007129,0.007129
89,1280.05,0.4599,0.75743,1,0.50788,0.007096,0.007096,0.007096
90,1289.1,0.4395,0.78002,1,0.54036,0.007063,0.007063,0.007063
91,1299.19,0.54026,0.84304,0.99881,0.40115,0.00703,0.00703,0.00703
92,1318.02,0.48555,0.75743,1,0.50087,0.006997,0.006997,0.006997
93,1330.58,0.46419,0.76457,0.99881,0.5423,0.006964,0.006964,0.006964
94,1341.96,0.46795,0.81807,0.99881,0.47728,0.006931,0.006931,0.006931
95,1373.33,0.4467,0.85018,0.99881,0.37294,0.006898,0.006898,0.006898
96,1385.94,0.48163,0.82283,0.99762,0.42466,0.006865,0.006865,0.006865
97,1396.46,0.45628,0.78359,1,0.48958,0.006832,0.006832,0.006832
98,1406.2,0.48566,0.80262,0.99881,0.44172,0.006799,0.006799,0.006799
99,1419.07,0.45171,0.81451,1,0.44519,0.006766,0.006766,0.006766
100,1432.11,0.44885,0.7824,0.99881,0.58246,0.006733,0.006733,0.006733
101,1444.03,0.39877,0.78716,1,0.51076,0.0067,0.0067,0.0067
102,1460.13,0.4934,0.79905,1,0.44145,0.006667,0.006667,0.006667
103,1473.68,0.48409,0.83472,1,0.41508,0.006634,0.006634,0.006634
104,1486.54,0.4398,0.8264,0.99881,0.41614,0.006601,0.006601,0.006601
105,1498.15,0.41617,0.81213,1,0.40285,0.006568,0.006568,0.006568
106,1509.65,0.43605,0.81807,0.99881,0.45178,0.006535,0.006535,0.006535
107,1521.65,0.49001,0.81094,0.99881,0.45299,0.006502,0.006502,0.006502
108,1535.67,0.43732,0.81332,0.99881,0.40101,0.006469,0.006469,0.006469
109,1545.15,0.41487,0.82045,0.99881,0.40054,0.006436,0.006436,0.006436
110,1565.82,0.43493,0.8038,0.99881,0.44658,0.006403,0.006403,0.006403
111,1579.13,0.40794,0.83948,0.99881,0.391,0.00637,0.00637,0.00637
112,1591.3,0.40012,0.80024,0.99881,0.42201,0.006337,0.006337,0.006337
113,1608.91,0.40775,0.80262,1,0.43953,0.006304,0.006304,0.006304
114,1623.54,0.37979,0.81332,0.99881,0.40953,0.006271,0.006271,0.006271
115,1638.46,0.4079,0.8371,0.99881,0.39582,0.006238,0.006238,0.006238
116,1651.19,0.41644,0.8038,1,0.42287,0.006205,0.006205,0.006205
117,1664.86,0.4211,0.82521,0.99762,0.41878,0.006172,0.006172,0.006172
118,1677.83,0.40131,0.75386,1,0.5379,0.006139,0.006139,0.006139
119,1689.8,0.45894,0.81926,1,0.44078,0.006106,0.006106,0.006106
120,1698.59,0.41042,0.79429,0.99881,0.47225,0.006073,0.006073,0.006073
121,1707.81,0.37635,0.78835,1,0.48657,0.00604,0.00604,0.00604
122,1720.09,0.37071,0.83353,0.99881,0.38856,0.006007,0.006007,0.006007
123,1733.62,0.38868,0.80856,0.99881,0.45515,0.005974,0.005974,0.005974
124,1746.35,0.43299,0.80024,0.99881,0.5092,0.005941,0.005941,0.005941
125,1759.2,0.40506,0.83472,0.99881,0.38557,0.005908,0.005908,0.005908
126,1776.46,0.38967,0.82878,1,0.3934,0.005875,0.005875,0.005875
127,1790.22,0.36857,0.80856,0.99881,0.42068,0.005842,0.005842,0.005842
128,1799.39,0.43332,0.78359,0.99881,0.48119,0.005809,0.005809,0.005809
129,1808.81,0.38852,0.85256,0.99881,0.34906,0.005776,0.005776,0.005776
130,1821.25,0.38919,0.79429,0.99881,0.47513,0.005743,0.005743,0.005743
131,1834.21,0.37457,0.82283,0.99881,0.41199,0.00571,0.00571,0.00571
132,1847.14,0.3894,0.81332,0.99881,0.4229,0.005677,0.005677,0.005677
133,1870.87,0.36052,0.80737,1,0.42858,0.005644,0.005644,0.005644
134,1883.53,0.35359,0.84185,0.99881,0.40812,0.005611,0.005611,0.005611
135,1893.79,0.36968,0.85493,0.99881,0.32986,0.005578,0.005578,0.005578
136,1903.62,0.37141,0.80737,0.99881,0.44468,0.005545,0.005545,0.005545
137,1915.85,0.36904,0.7824,0.99881,0.49005,0.005512,0.005512,0.005512
138,1929.41,0.35671,0.81807,0.99881,0.41977,0.005479,0.005479,0.005479
139,1940.93,0.34679,0.82045,1,0.43597,0.005446,0.005446,0.005446
140,1952.5,0.34281,0.81688,0.99881,0.44003,0.005413,0.005413,0.005413
141,1964.11,0.35796,0.85018,0.99881,0.34842,0.00538,0.00538,0.00538
142,1977.28,0.38549,0.82759,1,0.44941,0.005347,0.005347,0.005347
143,1989.21,0.36538,0.82996,0.99881,0.38625,0.005314,0.005314,0.005314
144,1998.45,0.34131,0.83353,1,0.40937,0.005281,0.005281,0.005281
145,2008.95,0.35627,0.83115,0.99881,0.43379,0.005248,0.005248,0.005248
146,2022.39,0.3602,0.84661,0.99881,0.37726,0.005215,0.005215,0.005215
147,2039.41,0.34692,0.81213,0.99881,0.47152,0.005182,0.005182,0.005182
148,2048.57,0.34805,0.8371,0.99881,0.42333,0.005149,0.005149,0.005149
149,2062.83,0.36536,0.85137,0.99881,0.38552,0.005116,0.005116,0.005116
150,2075.57,0.36299,0.82521,1,0.41852,0.005083,0.005083,0.005083
151,2085.97,0.35149,0.82878,0.99881,0.449,0.00505,0.00505,0.00505
152,2096.36,0.32792,0.8371,0.99881,0.37126,0.005017,0.005017,0.005017
153,2106.74,0.35329,0.83472,0.99881,0.39181,0.004984,0.004984,0.004984
154,2128.96,0.34533,0.80975,0.99881,0.43577,0.004951,0.004951,0.004951
155,2140.37,0.32345,0.8371,0.99881,0.39167,0.004918,0.004918,0.004918
156,2152.95,0.31263,0.84304,0.99881,0.35654,0.004885,0.004885,0.004885
157,2164.56,0.32423,0.82759,0.99881,0.39389,0.004852,0.004852,0.004852
158,2177.42,0.35309,0.84661,0.99881,0.34217,0.004819,0.004819,0.004819
159,2189.99,0.32113,0.83948,0.99881,0.38354,0.004786,0.004786,0.004786
160,2201.19,0.3181,0.84661,0.99881,0.34302,0.004753,0.004753,0.004753
161,2219.48,0.3529,0.84304,0.99881,0.38887,0.00472,0.00472,0.00472
162,2232.9,0.32142,0.86326,0.99881,0.32691,0.004687,0.004687,0.004687
163,2244.85,0.31092,0.84067,0.99881,0.36518,0.004654,0.004654,0.004654
164,2256.68,0.30125,0.82996,0.99881,0.39622,0.004621,0.004621,0.004621
165,2269.52,0.3185,0.83234,0.99881,0.41467,0.004588,0.004588,0.004588
166,2282.24,0.30861,0.84067,0.99881,0.37508,0.004555,0.004555,0.004555
167,2292.63,0.31285,0.85493,0.99881,0.32814,0.004522,0.004522,0.004522
168,2313.82,0.29356,0.85375,0.99881,0.35212,0.004489,0.004489,0.004489
