epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,1627.88,0.86731,0.64757,0.99806,0.82787,0.007525,0.007525,0.007525
77,1678.76,0.85706,0.6767,0.99903,0.80027,0.007492,0.007492,0.007492
78,1705.45,0.87669,0.62136,0.9932,0.95736,0.007459,0.007459,0.007459
79,1736.16,0.90443,0.6466,0.99903,0.87691,0.007426,0.007426,0.007426
80,1775.45,0.83737,0.62524,0.99903,0.89244,0.007393,0.007393,0.007393
81,1801.67,0.88208,0.67961,0.99903,0.8125,0.00736,0.00736,0.00736
82,1821.41,0.84473,0.65437,1,0.80256,0.007327,0.007327,0.007327
83,1861.49,0.85701,0.66893,0.99709,0.80875,0.007294,0.007294,0.007294
84,1878.1,0.86357,0.59806,0.99515,0.95419,0.007261,0.007261,0.007261
85,1889.33,0.85256,0.6767,0.99612,0.79109,0.007228,0.007228,0.007228
86,1910.9,0.84197,0.63981,0.99612,0.86446,0.007195,0.007195,0.007195
87,1928.2,0.84048,0.6699,0.99903,0.77724,0.007162,0.007162,0.007162
88,1947.05,0.82931,0.65631,0.99806,0.77458,0.007129,0.007129,0.007129
89,1964.87,0.83679,0.6835,0.99903,0.75077,0.007096,0.007096,0.007096
90,1977.74,0.82911,0.69417,1,0.73854,0.007063,0.007063,0.007063
91,1989.16,0.80142,0.67282,0.99806,0.77792,0.00703,0.00703,0.00703
92,2000.85,0.81788,0.66796,0.99709,0.80905,0.006997,0.006997,0.006997
93,2035.04,0.79016,0.69223,0.99709,0.7719,0.006964,0.006964,0.006964
94,2057.04,0.81313,0.7068,0.99903,0.71606,0.006931,0.006931,0.006931
95,2087.65,0.7984,0.71845,0.99903,0.69147,0.006898,0.006898,0.006898
96,2116.78,0.8137,0.68641,0.99903,0.75987,0.006865,0.006865,0.006865
97,2147.05,0.79357,0.66408,1,0.77662,0.006832,0.006832,0.006832
98,2178.97,0.83814,0.68252,0.99903,0.75402,0.006799,0.006799,0.006799
99,2190.26,0.79968,0.65825,0.99903,0.76514,0.006766,0.006766,0.006766
100,2210.8,0.81552,0.70971,0.99903,0.73438,0.006733,0.006733,0.006733
101,2222.63,0.77811,0.68835,1,0.76321,0.0067,0.0067,0.0067
102,2234.16,0.77195,0.71553,0.99903,0.68945,0.006667,0.006667,0.006667
103,2250.17,0.77505,0.71359,1,0.67685,0.006634,0.006634,0.006634
104,2262.47,0.76892,0.70388,1,0.72828,0.006601,0.006601,0.006601
105,2275.05,0.81796,0.69903,0.99903,0.71078,0.006568,0.006568,0.006568
106,2310.43,0.7906,0.69612,0.99903,0.71643,0.006535,0.006535,0.006535
107,2328.09,0.77997,0.6835,0.99903,0.78325,0.006502,0.006502,0.006502
108,2361.04,0.79097,0.66311,1,0.75447,0.006469,0.006469,0.006469
109,2401.41,0.78686,0.69029,1,0.70753,0.006436,0.006436,0.006436
110,2442.79,0.75002,0.65243,0.99903,0.82099,0.006403,0.006403,0.006403
111,2465.6,0.75951,0.68447,0.99806,0.75359,0.00637,0.00637,0.00637
112,2501.13,0.75746,0.7,1,0.70323,0.006337,0.006337,0.006337
113,2530.02,0.76424,0.67864,1,0.73224,0.006304,0.006304,0.006304
114,2571.63,0.76422,0.67184,1,0.79966,0.006271,0.006271,0.006271
115,2593.23,0.78098,0.69806,1,0.727,0.006238,0.006238,0.006238
116,2616.8,0.78817,0.66505,0.99903,0.75566,0.006205,0.006205,0.006205
117,2641.43,0.74427,0.70194,1,0.73924,0.006172,0.006172,0.006172
118,2679.7,0.75134,0.68641,1,0.76019,0.006139,0.006139,0.006139
119,2708.75,0.75762,0.6534,1,0.81056,0.006106,0.006106,0.006106
120,2739.82,0.74071,0.69903,1,0.69724,0.006073,0.006073,0.006073
121,2761.41,0.73751,0.69806,1,0.71002,0.00604,0.00604,0.00604
122,2796.29,0.74728,0.69612,0.99903,0.72851,0.006007,0.006007,0.006007
123,2827.38,0.73555,0.67573,1,0.74852,0.005974,0.005974,0.005974
124,2870.88,0.76421,0.66505,1,0.74367,0.005941,0.005941,0.005941
125,2916.65,0.73575,0.68058,0.99806,0.77578,0.005908,0.005908,0.005908
126,2959.83,0.73285,0.69029,0.99903,0.70788,0.005875,0.005875,0.005875
127,3009.01,0.74261,0.67961,0.99709,0.75024,0.005842,0.005842,0.005842
128,3053.12,0.73455,0.6699,0.99612,0.78091,0.005809,0.005809,0.005809
129,3096.94,0.73415,0.69126,0.99903,0.7289,0.005776,0.005776,0.005776
130,3135.34,0.72044,0.68641,0.99806,0.76004,0.005743,0.005743,0.005743
131,3177.62,0.72248,0.67379,0.99806,0.76388,0.00571,0.00571,0.00571
132,3214.94,0.74805,0.69709,0.99903,0.71584,0.005677,0.005677,0.005677
133,3221.97,0.77101,0.69417,0.99806,0.75818,0.005644,0.005644,0.005644
134,3229.74,0.72057,0.68058,0.99903,0.77153,0.005611,0.005611,0.005611
135,3237.56,0.73202,0.69515,1,0.72439,0.005578,0.005578,0.005578
136,3248.9,0.7547,0.68447,1,0.7243,0.005545,0.005545,0.005545
137,3259.82,0.71781,0.66214,1,0.76771,0.005512,0.005512,0.005512
138,3270.28,0.71657,0.6932,1,0.71315,0.005479,0.005479,0.005479
139,3279.32,0.69913,0.68932,1,0.74995,0.005446,0.005446,0.005446
140,3287.32,0.68679,0.69223,1,0.70518,0.005413,0.005413,0.005413
141,3295.17,0.71543,0.70874,1,0.7097,0.00538,0.00538,0.00538
142,3302.68,0.69596,0.69709,1,0.7291,0.005347,0.005347,0.005347
143,3310.52,0.72853,0.7,0.99903,0.72927,0.005314,0.005314,0.005314
144,3318.28,0.67822,0.71068,0.99903,0.72569,0.005281,0.005281,0.005281
145,3325.84,0.72612,0.68738,0.99903,0.74618,0.005248,0.005248,0.005248
146,3333.66,0.71323,0.69709,1,0.72483,0.005215,0.005215,0.005215
147,3341.48,0.70231,0.70971,1,0.69565,0.005182,0.005182,0.005182
148,3349.33,0.68069,0.7233,0.99903,0.69154,0.005149,0.005149,0.005149
149,3357.07,0.70155,0.6835,0.99806,0.754,0.005116,0.005116,0.005116
150,3365.02,0.69106,0.68932,1,0.71805,0.005083,0.005083,0.005083
151,3375.01,0.68493,0.68544,0.99903,0.71216,0.00505,0.00505,0.00505
152,3385.98,0.69344,0.68835,0.99903,0.7411,0.005017,0.005017,0.005017
153,3396.91,0.69869,0.70583,0.99903,0.70716,0.004984,0.004984,0.004984
154,3407.84,0.66596,0.66893,0.99903,0.79114,0.004951,0.004951,0.004951
155,3418.76,0.71111,0.70777,0.99806,0.70122,0.004918,0.004918,0.004918
156,3429.84,0.68092,0.70097,0.99806,0.71277,0.004885,0.004885,0.004885
157,3440.79,0.68867,0.69417,0.99903,0.72567,0.004852,0.004852,0.004852
158,3451.61,0.67801,0.70194,1,0.69755,0.004819,0.004819,0.004819
159,3462.52,0.70989,0.71456,0.99903,0.69229,0.004786,0.004786,0.004786
160,3473.37,0.66353,0.71359,0.99806,0.70998,0.004753,0.004753,0.004753
161,3484.33,0.68861,0.70971,0.99806,0.72814,0.00472,0.00472,0.00472
162,3495.45,0.65471,0.69903,0.99806,0.71221,0.004687,0.004687,0.004687
163,3506.41,0.66361,0.68932,0.99903,0.73955,0.004654,0.004654,0.004654
164,3517.26,0.70561,0.70777,0.99903,0.68786,0.004621,0.004621,0.004621
165,3528.16,0.67636,0.69515,0.99806,0.7443,0.004588,0.004588,0.004588
166,3538.83,0.67152,0.69806,0.99903,0.70107,0.004555,0.004555,0.004555
167,3549.99,0.64603,0.70388,0.99903,0.70989,0.004522,0.004522,0.004522
168,3560.99,0.66625,0.70777,0.99612,0.71982,0.004489,0.004489,0.004489
169,3571.95,0.66023,0.70291,1,0.71526,0.004456,0.004456,0.004456
170,3582.86,0.67426,0.71553,1,0.71764,0.004423,0.004423,0.004423
171,3593.81,0.65484,0.70583,1,0.73337,0.00439,0.00439,0.00439
172,3604.92,0.63996,0.7068,0.99903,0.72065,0.004357,0.004357,0.004357
173,3615.98,0.66033,0.71553,0.99903,0.70024,0.004324,0.004324,0.004324
174,3628.67,0.65956,0.71942,1,0.68794,0.004291,0.004291,0.004291
175,3643.16,0.62838,0.71165,1,0.70464,0.004258,0.004258,0.004258
176,3658.92,0.63182,0.71068,0.99903,0.72074,0.004225,0.004225,0.004225
177,3670.67,0.64356,0.71456,0.99903,0.73767,0.004192,0.004192,0.004192
178,3696.79,0.65492,0.72136,0.99903,0.71001,0.004159,0.004159,0.004159
179,3717.03,0.63056,0.71068,0.99903,0.70191,0.004126,0.004126,0.004126
180,3743.18,0.61926,0.71456,0.99903,0.71286,0.004093,0.004093,0.004093
181,3761.65,0.63994,0.71748,0.99903,0.7192,0.00406,0.00406,0.00406
182,3781.85,0.64468,0.71262,0.99903,0.72369,0.004027,0.004027,0.004027
183,3797.5,0.62205,0.70874,1,0.73812,0.003994,0.003994,0.003994
184,3811.97,0.62468,0.72039,1,0.73068,0.003961,0.003961,0.003961
185,3833.29,0.63737,0.71165,0.99806,0.75288,0.003928,0.003928,0.003928
186,3855.08,0.61738,0.71456,0.99903,0.74646,0.003895,0.003895,0.003895
187,3870.6,0.63965,0.70777,0.99903,0.74446,0.003862,0.003862,0.003862
188,3893.82,0.63741,0.71845,0.99806,0.71908,0.003829,0.003829,0.003829
189,3912.03,0.62318,0.70971,0.99806,0.73875,0.003796,0.003796,0.003796
190,3924.61,0.63597,0.70971,0.99806,0.72657,0.003763,0.003763,0.003763
191,3936.1,0.62514,0.72136,1,0.75829,0.00373,0.00373,0.00373
192,3959.15,0.64417,0.71262,1,0.73688,0.003697,0.003697,0.003697
193,3977.11,0.61959,0.71068,0.99903,0.74362,0.003664,0.003664,0.003664
194,3994.17,0.6159,0.70874,0.99903,0.74687,0.003631,0.003631,0.003631
195,4012.6,0.61233,0.71359,0.99903,0.71547,0.003598,0.003598,0.003598
196,4028.23,0.62172,0.72039,0.99903,0.73736,0.003565,0.003565,0.003565
197,4045.59,0.60974,0.71748,1,0.7223,0.003532,0.003532,0.003532
198,4058.27,0.63074,0.71068,1,0.73966,0.003499,0.003499,0.003499
199,4069.34,0.61215,0.7233,1,0.69864,0.003466,0.003466,0.003466
200,4080.58,0.59685,0.7165,1,0.70813,0.003433,0.003433,0.003433
201,4096.28,0.58379,0.70097,0.99903,0.75976,0.0034,0.0034,0.0034
202,4109.61,0.61359,0.69903,1,0.75645,0.003367,0.003367,0.003367
203,4120.87,0.61325,0.7,0.99903,0.7386,0.003334,0.003334,0.003334
204,4132.04,0.60672,0.71165,1,0.71726,0.003301,0.003301,0.003301
205,4147.57,0.59395,0.7068,0.99903,0.7146,0.003268,0.003268,0.003268
206,4161.65,0.61029,0.72233,1,0.72105,0.003235,0.003235,0.003235
207,4175.63,0.6137,0.71748,1,0.71434,0.003202,0.003202,0.003202
208,4190.68,0.59787,0.71748,0.99903,0.70345,0.003169,0.003169,0.003169
209,4206.33,0.59706,0.71456,0.99903,0.72035,0.003136,0.003136,0.003136
210,4217.17,0.59428,0.71068,0.99903,0.72626,0.003103,0.003103,0.003103
211,4230.96,0.5751,0.7165,0.99903,0.73833,0.00307,0.00307,0.00307
212,4247.39,0.59934,0.70874,0.99806,0.72658,0.003037,0.003037,0.003037
213,4260.31,0.57386,0.71359,0.99903,0.73318,0.003004,0.003004,0.003004
