epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
79,395.452,0.24334,0.90591,1,0.32813,0.007426,0.007426,0.007426
80,399.747,0.23948,0.87527,0.99781,0.3092,0.007393,0.007393,0.007393
81,404.25,0.23564,0.85558,1,0.37817,0.00736,0.00736,0.00736
82,408.721,0.22848,0.90153,0.99562,0.31526,0.007327,0.007327,0.007327
83,413.181,0.22719,0.8709,0.99781,0.33115,0.007294,0.007294,0.007294
84,417.485,0.23951,0.8512,0.99781,0.52516,0.007261,0.007261,0.007261
85,421.82,0.22763,0.92998,0.99781,0.22798,0.007228,0.007228,0.007228
86,426.248,0.25419,0.87527,0.99781,0.29579,0.007195,0.007195,0.007195
87,431.373,0.21627,0.91247,0.99562,0.31077,0.007162,0.007162,0.007162
88,437.539,0.27861,0.89059,0.99781,0.30101,0.007129,0.007129,0.007129
89,443.765,0.20137,0.9256,0.99562,0.25623,0.007096,0.007096,0.007096
90,449.334,0.19374,0.8884,0.99781,0.32641,0.007063,0.007063,0.007063
91,453.739,0.22117,0.92779,0.99781,0.29998,0.00703,0.00703,0.00703
92,458.204,0.21371,0.93654,0.99781,0.22813,0.006997,0.006997,0.006997
93,462.543,0.20398,0.86652,0.99781,0.35181,0.006964,0.006964,0.006964
94,466.944,0.25092,0.9081,0.99781,0.28174,0.006931,0.006931,0.006931
95,471.436,0.27119,0.88403,0.99781,0.31914,0.006898,0.006898,0.006898
96,475.805,0.21431,0.87527,0.99562,0.3962,0.006865,0.006865,0.006865
97,480.102,0.22046,0.93435,0.99781,0.201,0.006832,0.006832,0.006832
98,485.568,0.22811,0.88621,0.99781,0.29866,0.006799,0.006799,0.006799
99,490.295,0.20889,0.89716,0.99781,0.28145,0.006766,0.006766,0.006766
100,494.616,0.19909,0.90591,0.99781,0.30285,0.006733,0.006733,0.006733
101,499.088,0.20065,0.91685,0.99781,0.22915,0.0067,0.0067,0.0067
102,503.437,0.20393,0.90372,0.99781,0.28074,0.006667,0.006667,0.006667
103,507.708,0.19213,0.94967,0.99781,0.20144,0.006634,0.006634,0.006634
104,512.189,0.16884,0.84683,0.99781,0.40769,0.006601,0.006601,0.006601
105,516.568,0.19983,0.93217,0.99781,0.2251,0.006568,0.006568,0.006568
106,521.186,0.27057,0.8512,0.99781,0.40506,0.006535,0.006535,0.006535
107,527.44,0.1992,0.88184,0.99781,0.34414,0.006502,0.006502,0.006502
108,531.872,0.21527,0.89059,0.99781,0.34185,0.006469,0.006469,0.006469
109,536.288,0.21976,0.8884,0.99781,0.2905,0.006436,0.006436,0.006436
110,540.963,0.19816,0.92123,0.99562,0.22483,0.006403,0.006403,0.006403
111,554.56,0.2128,0.91466,0.99781,0.25257,0.00637,0.00637,0.00637
112,559.08,0.16858,0.92341,0.99562,0.22752,0.006337,0.006337,0.006337
113,564.803,0.26149,0.94967,0.99781,0.25389,0.006304,0.006304,0.006304
114,570.543,0.1934,0.94092,0.99781,0.21376,0.006271,0.006271,0.006271
115,576.994,0.16345,0.90591,0.99781,0.2618,0.006238,0.006238,0.006238
116,583.697,0.16693,0.93217,0.99781,0.2203,0.006205,0.006205,0.006205
117,589.843,0.18281,0.93654,0.99781,0.18914,0.006172,0.006172,0.006172
118,595.575,0.17408,0.93435,0.99562,0.22583,0.006139,0.006139,0.006139
119,600.03,0.17806,0.91466,0.99781,0.25754,0.006106,0.006106,0.006106
120,604.48,0.17704,0.9256,0.99781,0.2326,0.006073,0.006073,0.006073
121,608.83,0.1622,0.91685,0.99781,0.28402,0.00604,0.00604,0.00604
122,613.262,0.33363,0.88403,0.99781,0.30731,0.006007,0.006007,0.006007
123,617.711,0.19433,0.95405,0.99781,0.16231,0.005974,0.005974,0.005974
124,622.16,0.16545,0.9453,0.99781,0.19868,0.005941,0.005941,0.005941
125,626.475,0.19253,0.91247,0.99781,0.23518,0.005908,0.005908,0.005908
126,632.961,0.16536,0.90372,0.99781,0.27664,0.005875,0.005875,0.005875
127,639.458,0.18414,0.95186,0.99781,0.18611,0.005842,0.005842,0.005842
128,645.048,0.20285,0.94748,0.99781,0.1779,0.005809,0.005809,0.005809
129,649.578,0.25863,0.9256,0.99781,0.23647,0.005776,0.005776,0.005776
130,653.952,0.18354,0.93217,0.99781,0.21347,0.005743,0.005743,0.005743
131,658.451,0.18108,0.91904,0.99781,0.22263,0.00571,0.00571,0.00571
132,662.752,0.15688,0.92779,0.99781,0.22007,0.005677,0.005677,0.005677
133,667.152,0.14024,0.89716,0.99781,0.28015,0.005644,0.005644,0.005644
134,671.588,0.13989,0.94748,0.99781,0.18111,0.005611,0.005611,0.005611
135,675.955,0.18244,0.9256,0.99781,0.21582,0.005578,0.005578,0.005578
136,681.869,0.15461,0.93435,0.99781,0.19943,0.005545,0.005545,0.005545
137,687.265,0.12273,0.93435,0.99781,0.19503,0.005512,0.005512,0.005512
138,694.233,0.14994,0.88403,0.99781,0.37194,0.005479,0.005479,0.005479
139,698.757,0.17133,0.93654,0.99781,0.18562,0.005446,0.005446,0.005446
140,703.031,0.16668,0.95405,0.99781,0.15695,0.005413,0.005413,0.005413
141,707.509,0.15119,0.92779,0.99781,0.19645,0.00538,0.00538,0.00538
142,711.875,0.1343,0.90591,0.99781,0.2154,0.005347,0.005347,0.005347
143,716.247,0.29435,0.93217,0.99781,0.23206,0.005314,0.005314,0.005314
144,720.662,0.1597,0.94967,0.99781,0.16679,0.005281,0.005281,0.005281
145,725.13,0.16208,0.93217,1,0.20648,0.005248,0.005248,0.005248
146,730.086,0.14412,0.93654,0.99781,0.19241,0.005215,0.005215,0.005215
147,736.672,0.15613,0.91466,0.99781,0.22476,0.005182,0.005182,0.005182
148,740.986,0.22897,0.92779,0.99781,0.24586,0.005149,0.005149,0.005149
149,745.362,0.17052,0.91685,0.99781,0.23214,0.005116,0.005116,0.005116
150,749.723,0.15731,0.9256,0.99781,0.18981,0.005083,0.005083,0.005083
151,754.046,0.13385,0.9453,0.99781,0.18432,0.00505,0.00505,0.00505
152,758.391,0.13084,0.91028,0.99781,0.24708,0.005017,0.005017,0.005017
153,762.789,0.13267,0.94092,0.99781,0.19395,0.004984,0.004984,0.004984
154,767.226,0.16366,0.94967,0.99781,0.16833,0.004951,0.004951,0.004951
155,772.343,0.13464,0.94092,1,0.20106,0.004918,0.004918,0.004918
156,778.87,0.12686,0.93654,0.99781,0.24816,0.004885,0.004885,0.004885
157,785.21,0.15504,0.92779,0.99781,0.21507,0.004852,0.004852,0.004852
158,791.501,0.13143,0.95186,1,0.17678,0.004819,0.004819,0.004819
159,796.857,0.15213,0.94092,0.99781,0.19211,0.004786,0.004786,0.004786
160,801.271,0.1262,0.94092,1,0.18873,0.004753,0.004753,0.004753
161,805.693,0.15429,0.92779,0.99781,0.22042,0.00472,0.00472,0.00472
162,810.211,0.15671,0.94092,0.99781,0.1897,0.004687,0.004687,0.004687
163,814.696,0.22454,0.95842,0.99781,0.14364,0.004654,0.004654,0.004654
164,819.045,0.12881,0.95186,0.99781,0.16054,0.004621,0.004621,0.004621
165,823.44,0.19311,0.89059,0.99781,0.28202,0.004588,0.004588,0.004588
166,827.87,0.1177,0.94967,1,0.17914,0.004555,0.004555,0.004555
167,833.558,0.1462,0.94967,1,0.18455,0.004522,0.004522,0.004522
168,839.798,0.15526,0.95186,0.99781,0.15071,0.004489,0.004489,0.004489
169,845.996,0.17674,0.95405,1,0.14934,0.004456,0.004456,0.004456
170,850.377,0.11277,0.95842,0.99781,0.13812,0.004423,0.004423,0.004423
