epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
80,686.829,0.23377,0.90426,1,0.28201,0.007393,0.007393,0.007393
81,694.026,0.23308,0.83739,1,0.44941,0.00736,0.00736,0.00736
82,703.051,0.20326,0.91337,1,0.26269,0.007327,0.007327,0.007327
83,711.194,0.20418,0.87994,1,0.31939,0.007294,0.007294,0.007294
84,721.229,0.17462,0.92553,1,0.22044,0.007261,0.007261,0.007261
85,731.298,0.25262,0.92401,1,0.23294,0.007228,0.007228,0.007228
86,739.057,0.23044,0.92401,1,0.25974,0.007195,0.007195,0.007195
87,748.455,0.18642,0.84802,1,0.43972,0.007162,0.007162,0.007162
88,758.27,0.18267,0.93313,1,0.19154,0.007129,0.007129,0.007129
89,768.304,0.20477,0.93921,0.99848,0.22462,0.007096,0.007096,0.007096
90,779.239,0.21068,0.90729,1,0.27227,0.007063,0.007063,0.007063
91,786.352,0.18301,0.85258,1,0.44857,0.00703,0.00703,0.00703
92,793.504,0.21665,0.94985,1,0.16498,0.006997,0.006997,0.006997
93,800.658,0.21164,0.8769,1,0.33062,0.006964,0.006964,0.006964
94,808.123,0.19696,0.91489,1,0.26266,0.006931,0.006931,0.006931
95,819.252,0.21025,0.91641,1,0.26274,0.006898,0.006898,0.006898
96,830.158,0.20132,0.94681,1,0.18472,0.006865,0.006865,0.006865
97,839.294,0.19176,0.85106,1,0.38743,0.006832,0.006832,0.006832
98,847.337,0.18252,0.93009,1,0.25924,0.006799,0.006799,0.006799
99,856.837,0.19849,0.91945,1,0.28016,0.006766,0.006766,0.006766
100,867.66,0.20485,0.82979,0.99848,0.52087,0.006733,0.006733,0.006733
101,878.737,0.20057,0.91337,1,0.29046,0.0067,0.0067,0.0067
102,887.905,0.16395,0.93009,1,0.26055,0.006667,0.006667,0.006667
103,897.097,0.20728,0.92553,1,0.24532,0.006634,0.006634,0.006634
104,907.17,0.18934,0.91185,1,0.27592,0.006601,0.006601,0.006601
105,917.233,0.18335,0.92553,1,0.20836,0.006568,0.006568,0.006568
106,927.235,0.15069,0.91033,1,0.27938,0.006535,0.006535,0.006535
107,934.377,0.1825,0.92249,1,0.24306,0.006502,0.006502,0.006502
108,942.054,0.15284,0.93617,1,0.21457,0.006469,0.006469,0.006469
109,952.298,0.19104,0.88906,1,0.29344,0.006436,0.006436,0.006436
110,962.33,0.19977,0.94529,1,0.17455,0.006403,0.006403,0.006403
111,972.317,0.16838,0.92857,1,0.22819,0.00637,0.00637,0.00637
112,980.011,0.19325,0.94073,1,0.1973,0.006337,0.006337,0.006337
113,987.422,0.17454,0.92097,1,0.27308,0.006304,0.006304,0.006304
114,996.309,0.15555,0.90578,1,0.2424,0.006271,0.006271,0.006271
115,1005.31,0.17061,0.93769,1,0.17988,0.006238,0.006238,0.006238
116,1015.31,0.14304,0.96049,1,0.13683,0.006205,0.006205,0.006205
117,1024.86,0.14799,0.95137,1,0.19901,0.006172,0.006172,0.006172
118,1033.07,0.15304,0.92401,1,0.25052,0.006139,0.006139,0.006139
119,1042.21,0.16848,0.93769,1,0.22175,0.006106,0.006106,0.006106
120,1051.7,0.15717,0.94833,1,0.17321,0.006073,0.006073,0.006073
121,1061.76,0.14475,0.94377,1,0.20539,0.00604,0.00604,0.00604
122,1071.76,0.1579,0.92249,1,0.2363,0.006007,0.006007,0.006007
123,1079.18,0.16709,0.82067,1,0.48798,0.005974,0.005974,0.005974
124,1086.57,0.16216,0.94073,1,0.22261,0.005941,0.005941,0.005941
125,1097.1,0.17027,0.8921,1,0.32246,0.005908,0.005908,0.005908
